@relation USER4
@attribute a0 {344.5, 321.4, 323.4, 341.5, 399.6, 351.5, 354.5, 327.4, 337.5, 334.4, 396.5, 355.5, 376.5, 356.5, 362.5, 390.5, 366.6, 357.5, 364.5, 352.5, 495.7, 446.5, 535.7, 523.7, 355.4, 370.6, 346.5, 757, 670.8, 636.7, 669.7, 431.6, 382.5, 426.5, 399.4, 443.6, 387.5, 394.5, 400.6}
@attribute a1 integer [1, 10]
@attribute a2 integer [65, 117]
@attribute a3 real [15.9339249792838, 806.199929480731]
@attribute a4 real [40.7285445933715, 111.402553701961]
@attribute a5 real [0.18756915764133, 0.275180002770887]
@attribute a6 integer [14, 27]
@attribute a7 real [17.7910902845126, 1016.57248806624]
@attribute a8 real [48.2947676188154, 137.388526287683]
@attribute a9 integer [16, 32]
@attribute a10 real [0.1504004004004, 0.766244725738397]
@attribute a11 real [1.04887139414878E-7, 1.40432931234327E-6]
@attribute a12 real [1.0, 1.04712535344015]
@attribute a13 real [-0.272035510462904, -0.035059331175836]
@attribute a14 real [0.04183214191157, 0.109917253303693]
@attribute a15 real [0.386627906976744, 1.04576376004947]
@attribute a16 real [0.333926981300089, 0.826308139534884]
@attribute a17 real [2.00599748997391E-4, 8.58019974200865E-4]
@attribute a18 real [4.07612373548722E-5, 1.70445067716313E-4]
@attribute a19 real [7.05955955955956, 9.76425855513308]
@attribute a20 real [1.29707026867303E-7, 2.23100505262859E-6]
@attribute a21 real [-0.613372093023256, 0.0]
@attribute a22 real [0.6526717824325, 0.734788686988282]
@attribute a23 real [-0.666073018699911, -0.173691860465116]
@attribute a24 real [0.727964489537096, 0.964940668824164]
@attribute a25 real [0.954995499549955, 1.0]
@attribute a26 integer [15, 170]
@attribute a27 real [-0.95816785808843, -0.890082746696307]
@attribute a28 real [4.66704610130905E-4, 6.45340751043115E-4]
@attribute a29 integer [13, 147]
@attribute a30 real [0.253185566571012, 0.294628555909863]
@attribute a31 real [4513.47410832233, 18984.3403870968]
@attribute a32 real [0.597144068739643, 0.821769797628537]
@attribute a33 real [2.89290681502086E-4, 4.37616387337058E-4]
@attribute a34 real [3.92945544554455E-4, 4.97340425531915E-4]
@attribute a35 real [3.68404118404118E-4, 5.70570570570571E-4]
@attribute a36 integer [1, 2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
344.5, 5, 72, 806.199929480731, 111.402553701961, 0.208970435216259, 19, 1016.57248806624, 137.388526287683, 18, 0.183164005805515, 8.90904772188449E-7, 1.0, -0.191303385704802, 0.106882053551671, 0.846645367412141, 0.522044728434505, 5.1643557961098E-4, 8.94248375847736E-5, 9.20754716981132, 2.62679139016388E-7, -0.153354632587859, 0.669408255975831, -0.477955271565495, 0.808696614295198, 1.0, 22, -0.893117946448329, 5.80075662042875E-4, 13, 0.260045787080896, 9221.34746008708, 0.697217964692521, 3.72005044136192E-4, 4.41361916771753E-4, 5.39092055485498E-4, 1
321.4, 2, 69, 124.833091542331, 75.462662988195, 0.217644629465759, 16, 93.2382759503996, 84.18546531745, 17, 0.457996266334785, 1.18310338230408E-6, 1.03283582089552, -0.255813953488372, 0.0933602965958881, 1.03283582089552, 0.756716417910448, 5.74535176753091E-4, 8.93334102489919E-5, 9.59240821406347, 1.74267930636682E-6, 0.0, 0.681148922761428, -0.276119402985075, 0.744186046511628, 0.968208092485549, 20, -0.906639703404112, 5.93577684073954E-4, 14, 0.266843211482249, 9885.95208462975, 0.671836635799614, 3.53551735322738E-4, 4.41128770677911E-4, 5.25462212131041E-4, 1
341.5, 8, 74, 36.1500274109268, 68.7039225678565, 0.204229805397576, 18, 191.904886711181, 83.3178036098705, 18, 0.173060029282577, 7.24044795750546E-7, 1.0, -0.0409738071948701, 0.0819476143897402, 0.707535121328225, 0.584291187739464, 4.77861705194385E-4, 8.13315324784704E-5, 8.38360175695461, 1.09364088395794E-6, -0.292464878671775, 0.674219636406169, -0.415708812260536, 0.95902619280513, 1.0, 23, -0.91805238561026, 5.83304226336011E-4, 19, 0.279322819810952, 9306.37833089312, 0.707963354474982, 3.70241005937827E-4, 4.33112120153685E-4, 5.34404470834789E-4, 1
399.6, 10, 78, 462.198774399122, 86.3152529622332, 0.245953542119802, 20, 563.367070938604, 101.611924967211, 19, 0.1504004004004, 2.28354525498845E-7, 1.0, -0.0854845535336437, 0.0998730427422768, 0.943342776203966, 0.550991501416431, 4.88159549987606E-4, 7.2924384742118E-5, 7.05955955955956, 2.80849818716971E-7, -0.056657223796034, 0.6526717824325, -0.449008498583569, 0.914515446466356, 1.0, 29, -0.900126957257723, 5.31726338177951E-4, 15, 0.280135784006778, 7954.49424424424, 0.78031309388715, 4.04112017015243E-4, 4.18291386033322E-4, 5.67174760723148E-4, 1
351.5, 10, 72, 43.7669786174021, 69.6196953633631, 0.219625070099204, 16, 42.4553856312677, 77.9491047306844, 19, 0.179516358463727, 7.55803282594484E-7, 1.02523874488404, -0.0676743387152181, 0.0788961410740868, 1.02523874488404, 0.53137789904502, 4.65354568027785E-4, 8.00902228038202E-5, 8.05120910384068, 1.02978197253498E-6, 0.0, 0.683852225174637, -0.493860845839018, 0.932325661284782, 0.975382568196939, 18, -0.921103858925913, 5.65371024734982E-4, 16, 0.284487659517814, 9044.55391180654, 0.725757692692947, 4.06360424028269E-4, 4.20494699646643E-4, 5.58303886925795E-4, 1
354.5, 8, 71, 243.812930458903, 74.1113156806739, 0.234423805830714, 18, 358.184113890122, 94.9299458385862, 18, 0.172355430183357, 8.57391399827957E-7, 1.0, -0.179972064037821, 0.0898248630063393, 0.822104466313399, 0.606358819076457, 5.92341277825729E-4, 8.4074656495948E-5, 8.55289139633286, 1.6978606009751E-6, -0.177895533686601, 0.674339886749809, -0.393641180923543, 0.820027935962179, 1.0, 18, -0.910175136993661, 5.37598944591029E-4, 19, 0.277867066440978, 8969.40874471086, 0.736000706762341, 4.32058047493404E-4, 4.25461741424802E-4, 5.4089709762533E-4, 1
337.5, 9, 76, 54.3334224664293, 67.8997068639211, 0.213754565468077, 19, 792.492654213477, 116.265393743229, 20, 0.184, 1.94423657498779E-7, 1.04576376004947, -0.0533990147783251, 0.0590147783251232, 1.04576376004947, 0.50278293135436, 4.31875765371504E-4, 7.19509280042575E-5, 7.89333333333333, 1.64154106031903E-6, 0.0, 0.674372386514544, -0.542980828695114, 0.946600985221675, 0.956238911886458, 19, -0.940985221674877, 5.59309309309309E-4, 19, 0.289577058223529, 9424.8477037037, 0.768446750488493, 4.09159159159159E-4, 3.97897897897898E-4, 5.70570570570571E-4, 1
362.5, 4, 69, 16.7415179637989, 43.2483847539181, 0.221482508165891, 18, 29.2576971779457, 63.0490987129917, 18, 0.361931034482759, 5.13558196776118E-7, 1.0, -0.0600480384307446, 0.0784627702161729, 0.670281995661605, 0.635574837310195, 4.46751070831077E-4, 5.49645699634712E-5, 9.29655172413793, 1.0536797485579E-6, -0.329718004338395, 0.706902154543507, -0.364425162689805, 0.939951961569255, 1.0, 29, -0.921537229783827, 5.51928783382789E-4, 31, 0.273723190635719, 17539.6675862069, 0.614048830696293, 3.73887240356083E-4, 4.2433234421365E-4, 4.95548961424332E-4, 1
357.5, 3, 72, 16.1898912732689, 43.5574005937518, 0.220277341434111, 17, 26.9022732716623, 62.7848380535935, 17, 0.431608391608392, 7.82942081992104E-7, 1.0, -0.0817945383615084, 0.0516254876462939, 0.924742268041237, 0.350515463917526, 4.59669332121492E-4, 5.79816972897071E-5, 9.26153846153846, 1.44802191508217E-6, -0.0752577319587629, 0.734788686988282, -0.649484536082474, 0.918205461638492, 1.0, 21, -0.948374512353706, 5.82905466626397E-4, 33, 0.282621250384827, 17790.1709090909, 0.609049708298712, 3.62428269405014E-4, 4.16792509815766E-4, 4.92298399275144E-4, 1
364.5, 3, 70, 16.5189860844258, 45.9858083636402, 0.235841690188027, 17, 25.8915955782196, 67.1945568115316, 16, 0.200548696844993, 7.99996387487702E-7, 1.0, -0.202839042702956, 0.0680431722196152, 0.947368421052632, 0.433962264150943, 4.91915157029566E-4, 5.81133931404004E-5, 9.38545953360768, 1.57390593625298E-6, -0.0526315789473684, 0.724299561985926, -0.566037735849057, 0.797160957297044, 1.0, 27, -0.931956827780385, 5.72931891259866E-4, 26, 0.281790398734025, 17449.8074074074, 0.608114913476484, 3.59543992984507E-4, 4.58930137386729E-4, 4.76468868751827E-4, 1
